Snapshot,Lookback,X,Y,Z,R,Mass,Mstars
520.0,7.641375389072152,,,,,1963254.3191483077,0.0
523.0,7.596713167865263,,,,,1963254.3191483077,0.0
525.0,7.566683618057125,,,,,1963254.3191483077,0.0
527.0,7.53339063655954,,,,,1963254.3191483077,0.0
530.0,7.482979561017268,,,,,1963254.3191483077,0.0
532.0,7.445622694073074,,,,,1963254.3191483077,0.0
535.0,7.388982983834753,,,,,1963254.3191483077,0.0
537.0,7.368028485131425,,,,,1963254.3191483077,0.0
539.0,7.32581407574925,,,,,1963254.3191483077,0.0
541.0,7.304554308275986,,,,,1963254.3191483077,0.0
543.0,7.271496275648464,,,,,1963254.3191483077,0.0
545.0,7.236227198877431,,,,,1963254.3191483077,0.0
547.0,7.19831221169613,,,,,1963254.3191483077,0.0
550.0,7.152681385740628,,,,,1963254.3191483077,0.0
553.0,7.099260464270884,,,,,1963254.3191483077,0.0
555.0,7.075557727315488,,,,,1963254.3191483077,0.0
557.0,7.039764478602527,,,,,1963254.3191483077,0.0
560.0,6.986751233784402,,,,,1963254.3191483077,0.0
563.0,6.943909723553674,-71.322,99.36,2.744,122.33873801866685,1963254.3191483077,0.0
565.0,6.8992999999999975,-62.422,104.251,3.982,121.57562835124482,1963254.3191483077,0.0
567.0,6.866292168543732,-57.799,106.155,5.022,120.97449694047089,1963254.3191483077,0.0
570.0,6.816364909661479,-52.944,107.529,6.595,120.03768992279049,1963254.3191483077,0.0
573.0,6.779399361578653,-47.607,109.104,7.665,119.28479152850963,1963254.3191483077,0.0
575.0,6.742137004320504,-40.597,111.05,8.65,118.5539599043406,1963254.3191483077,0.0
577.0,6.7130773554740495,-34.871,112.35,9.491,118.01944001731239,1963254.3191483077,0.0
580.0,6.66005882533,-26.413,113.591,10.999,117.1389766516679,1963254.3191483077,0.0
583.0,6.613862820712693,-21.248,113.817,12.498,116.45594444681646,1963254.3191483077,0.0
585.0,6.573229915265312,-15.257,114.026,13.432,115.82367352575207,1963254.3191483077,0.0
587.0,6.539376586173443,-9.995,114.103,14.505,115.45470825826031,1963254.3191483077,0.0
590.0,6.489295405186351,-2.258,113.738,16.08,114.89124252091628,1963254.3191483077,0.0
592.0,6.462779928727577,1.899,113.349,17.03,114.63691770978492,1963254.3191483077,0.0
594.0,6.420803680733952,8.607,112.446,18.313,114.25213054468612,1963254.3191483077,0.0
596.0,6.3912357509248015,14.857,111.391,19.245,114.01339989229338,1963254.3191483077,0.0
598.0,6.360037918593159,19.346,110.276,20.274,113.78092532582076,1963254.3191483077,0.0
600.0,6.323181769898123,32.195,106.694,15.899,112.57400171442782,1963254.3191483077,0.0
602.0,6.296819541234349,36.274,105.139,16.454,112.43107449900138,1963254.3191483077,0.0
604.0,6.257021370782392,43.749,101.946,17.121,112.25012497988588,1963254.3191483077,0.0
608.0,6.198067183682968,52.634,97.306,18.031,112.0888600753884,1963254.3191483077,0.0
610.0,6.166826674452982,56.527,94.986,18.521,112.07439210631482,1963254.3191483077,0.0
612.0,6.133891202463207,60.817,92.265,18.937,112.1166699603587,1963254.3191483077,0.0
614.0,6.100719280344513,65.793,88.837,19.158,112.19518876493768,1963254.3191483077,0.0
616.0,6.067346103953526,69.597,85.988,19.467,112.32382935957979,1963254.3191483077,0.0
618.0,6.032072868913223,74.55,81.911,19.974,112.54365862633043,1963254.3191483077,0.0
620.0,5.9948320266449295,78.185,78.713,20.311,112.78815236983004,1963254.3191483077,0.0
622.0,5.957324003606695,82.134,75.021,20.456,113.10434267966903,1963254.3191483077,0.0
624.0,5.9365639909968575,85.642,71.285,20.546,113.30596411928191,1963254.3191483077,0.0
626.0,5.894811696137233,91.26,64.563,20.861,113.71873148254866,1963254.3191483077,0.0
629.0,5.85272746861963,96.141,57.988,20.964,114.21553887715979,1963254.3191483077,0.0
630.0,5.829423163299706,97.951,55.516,20.969,114.52564611474584,1963254.3191483077,0.0
632.0,5.806019824366869,99.647,53.118,21.056,114.8668867385201,1963254.3191483077,0.0
634.0,5.758847580686567,104.133,45.677,21.02,115.63697686293946,1963254.3191483077,0.0
636.0,5.735113676933862,105.631,43.241,20.94,116.0438530987316,1963254.3191483077,0.0
639.0,5.687351268637958,108.575,38.278,20.752,116.98026078360401,1963254.3191483077,0.0
640.0,5.674282004200253,109.617,36.097,20.72,117.25271211362235,1963254.3191483077,0.0
642.0,5.63487750476342,112.48,29.467,20.57,118.08124063118578,1963254.3191483077,0.0
644.0,5.607096887071627,114.178,25.255,20.377,118.6998434624073,1963254.3191483077,0.0
646.0,5.563197273837341,116.597,18.21,20.151,119.71853369466233,1963254.3191483077,0.0
648.0,5.532228479342441,118.158,12.497,19.887,120.46983332768416,1963254.3191483077,0.0
