Snapshot,Lookback,X,Y,Z,R,Mass,Mstars
520.0,7.641375389072152,,,,,2991625.765232797,0.0
523.0,7.596713167865263,,,,,2991625.765232797,0.0
525.0,7.566683618057125,68.305,-83.205,6.202,107.82907703398003,2991625.765232797,0.0
527.0,7.53339063655954,71.966,-79.757,6.141,107.6010970483108,2991625.765232797,0.0
530.0,7.482979561017268,76.584,-74.669,5.996,107.12852390003327,2991625.765232797,0.0
532.0,7.445622694073074,79.483,-70.783,6.036,106.60306596904238,2991625.765232797,0.0
535.0,7.388982983834753,83.057,-64.975,5.842,105.61413181009443,2991625.765232797,0.0
537.0,7.368028485131425,84.325,-62.613,5.79,105.18848555806856,2991625.765232797,0.0
539.0,7.32581407574925,87.659,-56.091,5.561,104.21720243318758,2991625.765232797,0.0
541.0,7.304554308275986,88.18,-54.349,5.575,103.73334481255293,2991625.765232797,0.0
543.0,7.271496275648464,89.996,-49.545,5.569,102.8834330784116,2991625.765232797,0.0
545.0,7.236227198877431,91.607,-44.213,5.653,101.8753563282112,2991625.765232797,0.0
547.0,7.19831221169613,92.306,-39.819,5.797,100.69536039957353,2991625.765232797,0.0
550.0,7.152681385740628,93.422,-31.673,6.59,98.86494380213847,2991625.765232797,0.0
553.0,7.099260464270884,93.683,-23.482,6.705,96.81356226273259,2991625.765232797,0.0
555.0,7.075557727315488,93.62,-19.458,6.728,95.85710275196095,2991625.765232797,0.0
557.0,7.039764478602527,92.702,-16.549,6.664,94.40306722241603,2991625.765232797,0.0
560.0,6.986751233784402,91.689,-6.905,6.478,92.17654924111662,2991625.765232797,0.0
563.0,6.943909723553674,90.19,0.683,6.333,90.4146530049195,2991625.765232797,0.0
565.0,6.8992999999999975,88.285,4.719,6.25,88.63166864050343,2991625.765232797,0.0
567.0,6.866292168543732,86.567,9.47,6.018,87.29113765440337,2991625.765232797,0.0
570.0,6.816364909661479,83.05,18.283,5.516,85.21735061007236,2991625.765232797,0.0
573.0,6.779399361578653,80.159,23.256,5.214,83.62710453555115,2991625.765232797,0.0
575.0,6.742137004320504,77.221,27.049,4.664,81.9541587596383,2991625.765232797,0.0
577.0,6.7130773554740495,74.748,29.806,4.261,80.5842246410549,2991625.765232797,0.0
580.0,6.66005882533,69.144,36.051,3.59,78.06058824400442,2991625.765232797,0.0
583.0,6.613862820712693,62.766,42.412,2.991,75.81091333706513,2991625.765232797,0.0
585.0,6.573229915265312,57.192,46.824,2.095,73.94457968641109,2991625.765232797,0.0
587.0,6.539376586173443,52.289,50.154,1.444,72.46825769259256,2991625.765232797,0.0
590.0,6.489295405186351,44.492,54.5,0.278,70.35527946074836,2991625.765232797,0.0
592.0,6.462779928727577,40.169,56.501,-0.328,69.3254581376856,2991625.765232797,0.0
594.0,6.420803680733952,33.104,59.146,-1.438,67.79522089351137,2991625.765232797,0.0
596.0,6.3912357509248015,28.773,60.273,-2.219,66.82547432678649,2991625.765232797,0.0
598.0,6.360037918593159,22.935,61.7,-3.024,65.89422433719058,2991625.765232797,0.0
600.0,6.323181769898123,19.561,61.271,-7.287,64.72919380774026,2991625.765232797,0.0
602.0,6.296819541234349,14.662,61.936,-7.911,64.13755733577636,2991625.765232797,0.0
604.0,6.257021370782392,8.0,62.28,-8.903,63.41972728575865,2991625.765232797,0.0
608.0,6.198067183682968,-3.179,61.913,-10.176,62.82417198817665,2991625.765232797,0.0
610.0,6.166826674452982,-9.499,61.109,-10.756,62.7712706419107,2991625.765232797,0.0
612.0,6.133891202463207,-15.91,59.79,-11.321,62.89783176708081,2991625.765232797,0.0
614.0,6.100719280344513,-21.781,58.146,-11.817,63.206097538133136,2991625.765232797,0.0
616.0,6.067346103953526,-28.23,55.802,-12.143,63.70438409560209,2991625.765232797,0.0
618.0,6.032072868913223,-34.08,53.233,-12.336,64.40012100143912,2991625.765232797,0.0
620.0,5.9948320266449295,-40.892,49.358,-12.498,65.30365864176372,2991625.765232797,0.0
622.0,5.957324003606695,-47.064,45.068,-12.67,66.38278105051039,2991625.765232797,0.0
624.0,5.9365639909968575,-49.437,43.398,-12.739,67.00511543158477,2991625.765232797,0.0
626.0,5.894811696137233,-54.605,39.166,-12.773,68.40198176953646,2991625.765232797,0.0
629.0,5.85272746861963,-59.631,34.243,-12.649,69.91735414759343,2991625.765232797,0.0
630.0,5.829423163299706,-62.626,30.625,-12.533,70.83066136921214,2991625.765232797,0.0
632.0,5.806019824366869,-65.427,26.8,-12.401,71.78242911743793,2991625.765232797,0.0
634.0,5.758847580686567,-69.807,20.414,-12.107,73.73145932368354,2991625.765232797,0.0
636.0,5.735113676933862,-72.004,16.15,-11.935,74.75187449823584,2991625.765232797,0.0
639.0,5.687351268637958,-75.594,7.449,-11.546,76.83261386286425,2991625.765232797,0.0
640.0,5.674282004200253,-76.349,5.595,-11.445,77.40453378840287,2991625.765232797,0.0
642.0,5.63487750476342,-78.387,-0.008,-11.164,79.17800659905501,2991625.765232797,0.0
644.0,5.607096887071627,-79.567,-4.33,-10.903,80.42718320319318,2991625.765232797,0.0
646.0,5.563197273837341,-81.011,-10.836,-10.603,82.41738060627746,2991625.765232797,0.0
648.0,5.532228479342441,-81.809,-14.911,-10.398,83.80434837166864,2991625.765232797,0.0
650.0,5.499580009312712,-82.306,-19.72,-10.114,85.23760339193025,2991625.765232797,0.0
652.0,5.4667717357004335,-82.341,-25.019,-9.765,86.61031039662656,2991625.765232797,0.0
654.0,5.432045810452904,-82.011,-30.576,-9.521,88.04172498310105,2991625.765232797,0.0
